Q1_mass;Q1_mass_normalized;Q2_mass;Q2_mass_normalized;Q3_mass;Q3_mass_normalized;Q4_mass;Q4_mass_normalized;center_of_mass_x;center_of_mass_y;normalized_center_of_mass_x;normalized_center_of_mass_y;inertia_horizontal;inertia_vertical;normalized_inertia_horizontal;normalized_inertia_vertical;character
1076;0.14076399790685504;464;0.06070120355834641;614;0.07951307951307951;1313;0.17003367003367004;79;104;0.5064102564102564;0.5279187817258884;1367.3882860601127;2383.9445884302536;0.021654735704491453;0.0377534973225157;1
188;0.0313124583610926;671;0.11036184210526316;451;0.07511658894070619;1202;0.19769736842105262;91;91;0.5723270440251572;0.5986842105263158;932.1181955594033;1508.608560280082;0.019264610841364126;0.031179261347113404;A
509;0.21234876929495203;502;0.2094284522319566;459;0.19148936170212766;514;0.21443471005423445;49;50;0.5212765957446809;0.49019607843137253;654.4007544224767;809.1620382414152;0.03401251322362145;0.04205623899383655;B
537;0.1726133076181292;172;0.05422446406052964;576;0.18216318785578747;47;0.01457816377171216;26;57;0.2524271844660194;0.4634146341463415;546.7591082073064;1075.080044007972;0.02124326319866759;0.04177014702028021;C
757;0.18774801587301587;728;0.177734375;749;0.1857638888888889;745;0.181884765625;66;63;0.5196850393700787;0.4921875;1442.0215955010576;1188.6202560814813;0.044352154384432615;0.03655830763329995;D
899;0.22794117647058823;354;0.08823529411764706;856;0.21389305347326337;270;0.06632277081798084;44;69;0.37606837606837606;0.5036496350364964;585.4983664158203;1831.4996640246268;0.01803864583202355;0.0564267565476809;E
725;0.24361559139784947;337;0.11323924731182795;636;0.21031746031746032;13;0.004298941798941799;36;53;0.375;0.424;309.71603687898414;1308.2437051689813;0.012467937558028426;0.052664695671228265;F
613;0.14512310606060605;327;0.07741477272727272;760;0.17715617715617715;814;0.18974358974358974;62;70;0.4696969696969697;0.5426356589147286;1533.453353661817;1106.1210888080052;0.045015510161802934;0.032470896486364455;G
463;0.1852;427;0.16745098039215686;369;0.1476;335;0.13137254901960785;48;46;0.4752475247524752;0.46;714.8196581754984;716.4544630192585;0.035385360040369206;0.03546628696694513;H
323;0.13785744771660263;535;0.22162386081193042;312;0.13131313131313133;516;0.2107843137254902;34;69;0.5074626865671642;0.4825174825174825;22.91071119497798;1539.595951025049;0.0009187068407642145;0.061736945666254275;I
10;0.005208333333333333;545;0.27525252525252525;184;0.09583333333333334;341;0.17222222222222222;35;58;0.5384615384615384;0.48333333333333334;106.99689214677637;1118.3631550068585;0.005744799578350409;0.060046343892985694;J
1034;0.1943609022556391;243;0.0450834879406308;1166;0.21608598962194217;853;0.15602707152002926;57;76;0.37254901960784315;0.5390070921985816;1008.5746167758509;1499.7675967191776;0.0232980969456191;0.034644666128879134;K
1260;0.20031796502384738;0;0.0;1321;0.21001589825119238;359;0.05707472178060413;47;94;0.31756756756756754;0.5529411764705883;571.2018098940257;2681.628494030266;0.011243244821156321;0.052783806275692194;L
1071;0.17841079460269865;998;0.16625020822921874;966;0.16091954022988506;955;0.1590871231051141;92;66;0.5287356321839081;0.4782608695652174;2334.702480763312;1357.5555229552576;0.04733784429771517;0.02752545666981463;M
930;0.17714285714285713;382;0.07276190476190476;249;0.04742857142857143;911;0.17352380952380952;78;65;0.52;0.4642857142857143;1222.8957434921606;1295.3145180716583;0.029047404833543008;0.030767565749920626;N
892;0.13992156862745098;899;0.1391640866873065;1079;0.16728682170542636;992;0.15177478580171358;73;88;0.48344370860927155;0.5146198830409356;2559.9804265411494;1414.4119189323212;0.049190661898873014;0.027178277524544044;O
970;0.2192090395480226;1102;0.24903954802259887;956;0.216045197740113;111;0.025084745762711864;57;62;0.4830508474576271;0.41333333333333333;873.8079339950461;1548.6910437607787;0.023989894959231445;0.04251842312104049;P
1053;0.1653061224489796;1068;0.16766091051805337;574;0.09010989010989011;805;0.12637362637362637;69;81;0.4928571428571429;0.44505494505494503;1895.7511884897956;1684.1977530612244;0.03595613361068575;0.031943664233768765;Q
992;0.20835958832178114;768;0.16131064902331443;954;0.19751552795031055;806;0.16687370600414078;59;68;0.427536231884058;0.4892086330935252;856.2281036124743;1457.6881185433886;0.022317948745274974;0.03799525918267662;R
1346;0.2607516466485858;354;0.06741573033707865;396;0.07671445176288261;1316;0.2506189297276709;55;89;0.4700854700854701;0.5;901.9112706824684;1752.4700123108705;0.01987770856417844;0.03862363106496971;S
659;0.1292156862745098;800;0.1568627450980392;400;0.07739938080495357;523;0.10119969040247678;68;59;0.5;0.39072847682119205;414.0928789317588;2193.1445024642558;0.010027190326942848;0.053106630081222746;T
973;0.15600448933782268;366;0.05868205868205868;863;0.1383678050344717;287;0.04601571268237935;60;72;0.37037037037037035;0.4675324675324675;1593.5583860266815;1957.562750106092;0.031896685068588504;0.03918260108298823;U
1325;0.1792478354978355;396;0.05357142857142857;680;0.09090909090909091;441;0.0589572192513369;76;68;0.4318181818181818;0.40236686390532544;1120.5631566514348;2032.2008072587666;0.018821290233828288;0.03413340959838028;V
2108;0.18041766518315647;1549;0.13257446080109553;1349;0.11421556176445687;1395;0.11811023622047244;113;79;0.4448818897637795;0.42702702702702705;2733.937621740823;2253.220050296293;0.027687967731143324;0.0228194979825634;W
2082;0.19641509433962265;783;0.07317757009345795;730;0.0681860638894078;2202;0.20375682428055888;107;100;0.5023474178403756;0.4975124378109453;1889.121130060522;3759.544179772845;0.022025429987880634;0.04383285740670217;X
2591;0.19975329581373835;718;0.055354251792460105;1248;0.09533995416348358;1081;0.08258212375859435;103;96;0.4327731092436975;0.4383561643835616;1540.4422684915278;4109.682863747884;0.014726277601372092;0.039287633131761236;Y
640;0.06180589087397392;2445;0.23365825688073394;2755;0.26605504587155965;737;0.07043195718654434;92;114;0.4816753926701571;0.5229357798165137;1820.622018220479;5136.034611749714;0.021672781598958146;0.061139629923810654;Z
