Time: 0.2924263038548753, Frequency: 0.0
Time: 0.3330612244897959, Frequency: 0.0
Time: 0.4397278911564626, Frequency: 0.0
Time: 0.6276643990929706, Frequency: 0.0
Time: 1.22702947845805, Frequency: 0.0
Time: 2.6340136054421768, Frequency: 0.0
Time: 3.1267120181405894, Frequency: 0.0
Time: 3.4517913832199545, Frequency: 0.0
Time: 3.492426303854875, Frequency: 0.0
Time: 3.538140589569161, Frequency: 0.0
Time: 3.609251700680272, Frequency: 0.0
Time: 3.6244897959183673, Frequency: 0.0
Time: 3.6397278911564626, Frequency: 0.0
Time: 3.660045351473923, Frequency: 0.0
Time: 3.7057596371882084, Frequency: 0.0
Time: 3.715918367346939, Frequency: 0.0
Time: 3.726077097505669, Frequency: 0.0
Time: 3.736235827664399, Frequency: 0.0
Time: 3.7565532879818595, Frequency: 0.0
Time: 3.7768707482993196, Frequency: 0.0
Time: 3.8327437641723354, Frequency: 0.0
Time: 3.842902494331066, Frequency: 0.0
Time: 3.853061224489796, Frequency: 0.0
Time: 3.8835374149659865, Frequency: 0.0
Time: 3.8936961451247165, Frequency: 0.0
Time: 3.9038548752834465, Frequency: 0.0
Time: 3.924172335600907, Frequency: 0.0
Time: 3.9495691609977324, Frequency: 0.0
Time: 3.9648072562358276, Frequency: 0.0
Time: 3.990204081632653, Frequency: 0.0
Time: 4.010521541950113, Frequency: 0.0
Time: 4.030839002267574, Frequency: 0.0
Time: 4.051156462585034, Frequency: 0.0
Time: 4.071473922902494, Frequency: 0.0
Time: 4.11718820861678, Frequency: 0.0
Time: 4.12734693877551, Frequency: 0.0
Time: 4.178140589569161, Frequency: 0.0
Time: 4.1984580498866215, Frequency: 0.0
Time: 4.279727891156463, Frequency: 0.0
Time: 4.3356009070294785, Frequency: 0.0
Time: 4.355918367346939, Frequency: 0.0
Time: 4.366077097505669, Frequency: 0.0
Time: 4.386394557823129, Frequency: 0.0
Time: 4.4117913832199545, Frequency: 0.0
Time: 4.421950113378685, Frequency: 0.0
Time: 4.4321088435374145, Frequency: 0.0
Time: 4.442267573696145, Frequency: 0.0
Time: 4.4524263038548755, Frequency: 0.0
Time: 4.462585034013605, Frequency: 0.0
Time: 4.4727437641723355, Frequency: 0.0
Time: 4.482902494331066, Frequency: 0.0
Time: 4.493061224489796, Frequency: 0.0
Time: 4.508299319727891, Frequency: 0.0
Time: 4.518458049886621, Frequency: 0.0
Time: 4.528616780045351, Frequency: 0.0
Time: 4.5489342403628115, Frequency: 0.0
Time: 4.579410430839002, Frequency: 0.0
Time: 4.5895691609977325, Frequency: 0.0
Time: 4.609886621315193, Frequency: 0.0
Time: 4.620045351473923, Frequency: 0.0
Time: 4.645442176870748, Frequency: 0.0
Time: 4.670839002267574, Frequency: 0.0
Time: 4.680997732426304, Frequency: 0.0
Time: 4.706394557823129, Frequency: 0.0
Time: 4.716553287981859, Frequency: 0.0
